id,plate,well,id_acuigen,id_inpesca,id_dart,id_dart_rep,country,localy,pop,lat,lon,year,lengthcm,weightgr,sex,Otholits
j001,1,A1,159,1,2761691,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.63,-73.71,2022,31,345,M,NA
j002,1,B1,160,2,2761692,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.63,-73.71,2022,33,420,F,NA
j003,1,C1,159,1,2761693,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.63,-73.71,2022,31,345,M,NA
j004,1,D1,160,2,2761694,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.63,-73.71,2022,33,420,F,NA
j005,1,E1,171,1,2761695,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,46,1160,M,NA
j006,1,F1,172,2,2761696,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,38,750,F,NA
j007,1,G1,173,3,2761697,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,38,690,F,NA
j008,1,H1,176,6,2761698,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,37,640,M,NA
j009,1,A2,178,8,2761699,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,37,750,F,NA
j010,1,B2,179,9,2761700,NA,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,2022,43,950,M,NA
j011,1,C2,NZ1,NA,2761701,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,51,1370,F,NA
j012,1,D2,PL1,NA,2761702,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,32,419,M,NA
j013,1,E2,NZ2,NA,2761703,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,49,1092.4,M,NA
j014,1,F2,PL2,NA,2761704,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,39,687,M,NA
j015,1,G2,NZ3,NA,2761705,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,47,1057.6,F,NA
j016,1,H2,PL3,NA,2761706,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,34,1495,M,NA
j017,1,A3,NZ4,NA,2761707,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,52,1495.8,M,NA
j018,1,B3,PL4,NA,2761708,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,28,298,M,NA
j019,1,C3,NZ5,NA,2761709,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,51,1413.2,M,NA
j020,1,D3,PL5,NA,2761710,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,32,426,M,NA
j021,1,E3,NZ6,NA,2761711,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,51,1367.9,M,NA
j022,1,F3,PL6,NA,2761712,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,32,381,F,NA
j023,1,G3,NZ7,NA,2761713,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,48.5,1226.8,F,NA
j024,1,H3,PL7,NA,2761714,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,26,248,F,NA
j025,1,A4,NZ8,NA,2761715,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,55,1695.5,M,NA
j026,1,B4,PL8,NA,2761716,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,21,135,M,NA
j027,1,C4,NZ9,NA,2761717,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,49,1218.7,M,NA
j028,1,D4,PL9,NA,2761718,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,32,422,F,NA
j029,1,E4,NZ10,NA,2761719,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,53.5,1394.3,F,NA
j030,1,F4,PL10,NA,2761720,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,31,395,M,NA
j031,1,G4,NZ11,NA,2761721,NA,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,50,1414.8,NA,NA
j032,1,H4,PL11,NA,2761722,NA,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,27,276,M,NA
j033,1,A5,NZ12,NA,2761723,2761786,New Zealand,New Zealand,NZE,-47.99,-176.98,2008,48.5,1820.2,M,NA
j034,1,B5,PL12,NA,2761724,2761787,Peru,Punta Lobos de Afuera,PLA,-6.96,-80.69,2008,26,245,F,NA
j035,1,C5,91,1,2761725,2761788,Chile,Caldera,CAL,-26.98,-70.88,2022,36,540.3,M,NA
j037,1,E5,93,3,2761727,2761790,Chile,Caldera,CAL,-26.98,-70.88,2022,35,531.4,M,NA
j038,1,F5,94,4,2761728,2761791,Chile,Caldera,CAL,-26.98,-70.88,2022,36,651.3,M,NA
j039,1,G5,95,5,2761729,2761792,Chile,Caldera,CAL,-26.98,-70.88,2022,37,669.2,M,NA
